Reference, Value, Footprint, Datasheet, Part Number, Manufacturer, Order Code
C40,1u,Capacitors_SMD:C_0603,,MC0603X105K100CT,Multicomp,1759399
C37,4u7/25V,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow,,TR3B475K025C0700,Vishay,2353145
C38,4u7/25V,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow,,TR3B475K025C0700,Vishay,2353145
C42,4u7/25V,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow,,TR3B475K025C0700,Vishay,2353145
C41,4u7/25V,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow,,TR3B475K025C0700,Vishay,2353145
U8,TPS7A4901,jakub:SSOP8_powerPAD,,TPS7A4901DGNT,Texas Instruments,1841881
C43,4u7,Capacitors_SMD:C_0805,,GRM21BR61E475KA12L,Murata,1735529
C46,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
C49,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
R12,165k,Resistors_SMD:R_0805,,MCMR08X1653FTL,Multicomp,2073657
R13,12k,Resistors_SMD:R_0805,,MCWR08X1202FTL,Multicomp,2447563
U9,TPS7A4901,jakub:SSOP8_powerPAD,,TPS7A4901DGNT,Texas Instruments,1841881
C44,10u,Capacitors_SMD:C_0805,,GRM21BR61A106KE19L,Murata,1828805
C47,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
C50,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
R14,48k7,Resistors_SMD:R_0805,,MC01W0805148K7,Multicomp,2141883
R15,12k,Resistors_SMD:R_0805,,MCWR08X1202FTL,Multicomp,2447563
U10,TPS7A4901,jakub:SSOP8_powerPAD,,TPS7A4901DGNT,Texas Instruments,1841881
C45,10u,Capacitors_SMD:C_0805,,GRM21BR61A106KE19L,Murata,1828805
C48,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
C51,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
R16,48.7k,Resistors_SMD:R_0805,,MC01W0805148K7,Multicomp,2141883
R17,12k,Resistors_SMD:R_0805,,MCWR08X1202FTL,Multicomp,2447563
C55,4u7,Capacitors_SMD:C_0805,,GRM21BR61E475KA12L,Murata,1735529
C58,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
C60,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
R19,165k,Resistors_SMD:R_0805,,MCMR08X1653FTL,Multicomp,2073657
R20,12k,Resistors_SMD:R_0805,,MCWR08X1202FTL,Multicomp,2447563
C56,10u,Capacitors_SMD:C_0805,,GRM21BR61A106KE19L,Murata,1828805
C59,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
C61,10n,Capacitors_SMD:C_0603,,MC0603B103K101CT,Multicomp,2320786
R21,48k7,Resistors_SMD:R_0805,,MC01W0805148K7,Multicomp,2141883
R22,12k,Resistors_SMD:R_0805,,MCWR08X1202FTL,Multicomp,2447563
R18,12k,Resistors_SMD:R_0805,,MCWR08X1202FTL,Multicomp,2447563
R10,12k,Resistors_SMD:R_0805,,MCWR08X1202FTL,Multicomp,2447563
R11,12k,Resistors_SMD:R_0805,,MCWR08X1202FTL,Multicomp,2447563
C52,4u7,Capacitors_SMD:C_0805,,GRM21BR61E475KA12L,Murata,1735529
C62,4u7,Capacitors_SMD:C_0805,,GRM21BR61E475KA12L,Murata,1735529
C63,10u,Capacitors_SMD:C_0805,,GRM21BR61A106KE19L,Murata,1828805
C53,10u,Capacitors_SMD:C_0805,,GRM21BR61A106KE19L,Murata,1828805
C54,10u,Capacitors_SMD:C_0805,,GRM21BR61A106KE19L,Murata,1828805
U11,LM3880,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-6,,LM3880MF-1AB,Texas Instruments,1271399
C57,1u,Capacitors_SMD:C_0603,,MC0603X105K100CT,Multicomp,1759399
U12,TPS7A3001,jakub:SSOP8_powerPAD,,TPS7A3001DGNT,Texas Instruments,1855138
U13,TPS7A3001,jakub:SSOP8_powerPAD,,TPS7A3001DGNT,Texas Instruments,1855138
U15,Si8651,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,,SI8651EC-B-IS1,Silicon Labs,2423323
C67,100n,Capacitors_SMD:C_0603,,MC0603B104K500CT,Multicomp,1759122
U14,74AHC1G14,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,,SN74AHC1G14DCKR,Texas Instruments,1287468
C66,100n,Capacitors_SMD:C_0603,,MC0603B104K500CT,Multicomp,1759122
C65,100n,Capacitors_SMD:C_0603,,MC0603B104K500CT,Multicomp,1759122
C64,10u,Capacitors_SMD:C_0805,,GRM21BR61A106KE19L,Murata,1828805
